Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2013-04-13,1555.25,1588.8399658203125,1536.030029296875,1588.8399658203125,20025810000
2013-04-20,1582.239990234375,1592.6400146484375,1548.18994140625,1555.25,17250470000
2013-04-27,1614.4200439453125,1618.4599609375,1581.280029296875,1582.3399658203125,17137450000
2013-05-04,1633.699951171875,1635.010009765625,1614.2099609375,1614.4000244140625,16470390000
2013-05-11,1667.469970703125,1667.469970703125,1626.739990234375,1632.0999755859375,16979670000
2013-05-18,1649.5999755859375,1687.1800537109375,1635.530029296875,1665.7099609375,17853250000
2013-05-25,1630.739990234375,1674.2099609375,1630.739990234375,1652.6300048828125,14642760000
2013-06-01,1643.3800048828125,1646.530029296875,1598.22998046875,1631.7099609375,18157630000
2013-06-08,1626.72998046875,1648.68994140625,1608.0699462890625,1644.6700439453125,15935010000
2013-06-15,1592.4300537109375,1654.18994140625,1577.699951171875,1630.6400146484375,20459250000
2013-06-22,1606.280029296875,1620.0699462890625,1560.3299560546875,1588.77001953125,20394900000
2013-06-29,1631.8900146484375,1632.0699462890625,1604.5699462890625,1609.780029296875,11022010000
2013-07-06,1680.18994140625,1680.18994140625,1634.199951171875,1634.199951171875,16166370000
2013-07-13,1692.0899658203125,1693.1199951171875,1671.8399658203125,1679.5899658203125,15613300000
2013-07-20,1691.6500244140625,1698.780029296875,1676.030029296875,1694.4100341796875,15296700000
2013-07-27,1709.6700439453125,1709.6700439453125,1681.8599853515625,1690.3199462890625,16920240000
2013-08-03,1691.4200439453125,1709.239990234375,1684.9100341796875,1708.010009765625,14910070000
2013-08-10,1655.8299560546875,1696.81005859375,1652.6099853515625,1688.3699951171875,15334290000
2013-08-17,1663.5,1664.8499755859375,1639.4300537109375,1655.25,13950930000
2013-08-24,1632.969970703125,1669.510009765625,1627.469970703125,1664.2900390625,13695720000
2013-08-31,1655.1700439453125,1664.8299560546875,1633.4100341796875,1635.949951171875,13124750000
2013-09-07,1687.989990234375,1689.969970703125,1656.8499755859375,1656.8499755859375,15772830000
2013-09-14,1709.9100341796875,1729.8599853515625,1691.699951171875,1691.699951171875,18657960000
2013-09-21,1691.75,1711.43994140625,1687.1099853515625,1711.43994140625,15310240000
2013-09-28,1690.5,1696.550048828125,1670.3599853515625,1687.260009765625,15855840000
2013-10-05,1703.199951171875,1703.43994140625,1646.469970703125,1687.1500244140625,16132530000
2013-10-12,1744.5,1745.31005859375,1692.1300048828125,1699.8599853515625,16512980000
2013-10-19,1759.77001953125,1759.8199462890625,1740.5,1745.199951171875,17464350000
2013-10-26,1761.6400146484375,1775.219970703125,1752.699951171875,1759.4200439453125,17676620000
2013-11-02,1770.6099853515625,1774.5400390625,1746.199951171875,1763.4000244140625,18014020000
2013-11-09,1798.1800537109375,1798.219970703125,1760.6400146484375,1769.9599609375,15476450000
2013-11-16,1804.760009765625,1804.8399658203125,1777.22998046875,1798.8199462890625,15813880000
2013-11-23,1805.81005859375,1813.550048828125,1800.5799560546875,1806.3299560546875,10637550000
2013-11-30,1805.0899658203125,1810.02001953125,1779.0899658203125,1806.550048828125,16668560000
2013-12-07,1775.3199462890625,1811.52001953125,1772.280029296875,1806.2099609375,16086600000
2013-12-14,1818.3199462890625,1823.75,1767.989990234375,1777.47998046875,19402600000
2013-12-21,1841.4000244140625,1844.8900146484375,1822.9200439453125,1822.9200439453125,8194360000
2013-12-28,1831.3699951171875,1849.43994140625,1827.739990234375,1841.469970703125,10461570000
2014-01-04,1842.3699951171875,1843.22998046875,1823.72998046875,1832.31005859375,17375600000
2014-01-11,1838.699951171875,1850.8399658203125,1815.52001953125,1841.260009765625,17839850000
2014-01-18,1790.2900390625,1849.31005859375,1790.2900390625,1841.050048828125,15747340000
2014-01-25,1782.5899658203125,1798.77001953125,1770.449951171875,1791.030029296875,19054250000
2014-02-01,1797.02001953125,1798.030029296875,1737.9200439453125,1782.6800537109375,20380140000
2014-02-08,1838.6300048828125,1841.6500244140625,1791.8299560546875,1796.199951171875,16742180000
2014-02-15,1836.25,1847.5,1824.5799560546875,1839.030029296875,13891540000
2014-02-22,1859.449951171875,1867.9200439453125,1836.780029296875,1836.780029296875,18711730000
2014-03-01,1878.0400390625,1883.5699462890625,1834.43994140625,1857.6800537109375,17512170000
2014-03-08,1841.1300048828125,1882.3499755859375,1839.5699462890625,1877.8599853515625,16641060000
2014-03-15,1866.52001953125,1883.969970703125,1842.81005859375,1842.81005859375,17678140000
2014-03-22,1857.6199951171875,1875.9200439453125,1842.1099853515625,1867.6700439453125,16779360000
2014-03-29,1865.0899658203125,1897.280029296875,1859.1600341796875,1859.1600341796875,16381500000
2014-04-05,1815.68994140625,1872.530029296875,1814.3599853515625,1863.9200439453125,18333880000
2014-04-12,1864.8499755859375,1869.6300048828125,1815.800048828125,1818.1800537109375,13344490000
2014-04-19,1863.4000244140625,1884.8900146484375,1859.699951171875,1865.7900390625,15348510000
2014-04-26,1881.1400146484375,1891.3299560546875,1850.6099853515625,1865.0,18038030000
2014-05-03,1878.47998046875,1889.0699462890625,1859.7900390625,1879.449951171875,16112380000
2014-05-10,1877.8599853515625,1902.1700439453125,1862.3599853515625,1880.030029296875,15469770000
2014-05-17,1900.530029296875,1901.260009765625,1868.1400146484375,1876.6600341796875,13605170000
2014-05-24,1923.5699462890625,1924.030029296875,1902.010009765625,1902.010009765625,11860010000
2014-05-31,1949.43994140625,1949.43994140625,1915.97998046875,1923.8699951171875,14147690000
2014-06-07,1936.1600341796875,1955.550048828125,1925.780029296875,1948.969970703125,13863870000
2014-06-14,1962.8699951171875,1963.9100341796875,1930.9100341796875,1934.8399658203125,16251000000
2014-06-21,1960.9599609375,1968.1700439453125,1944.68994140625,1962.9200439453125,15983470000
2014-06-28,1985.43994140625,1985.5899658203125,1958.219970703125,1960.7900390625,11075160000
2014-07-05,1967.5699462890625,1984.219970703125,1952.8599853515625,1984.219970703125,14692810000
2014-07-12,1978.219970703125,1983.93994140625,1955.5899658203125,1969.8599853515625,15952350000
2014-07-19,1978.3399658203125,1991.3900146484375,1965.77001953125,1976.9300537109375,14213850000
2014-07-26,1925.1500244140625,1984.8499755859375,1916.3699951171875,1978.25,17417530000
2014-08-02,1931.5899658203125,1942.9200439453125,1904.780029296875,1926.6199951171875,16207390000
2014-08-09,1955.06005859375,1964.0400390625,1928.2900390625,1933.4300537109375,13747450000
2014-08-16,1988.4000244140625,1994.760009765625,1958.3599853515625,1958.3599853515625,12814930000
2014-08-23,2003.3699951171875,2005.0400390625,1990.52001953125,1991.739990234375,11571710000
2014-08-30,2007.7099609375,2011.1700439453125,1990.0999755859375,2004.0699462890625,11520670000
2014-09-06,1985.5400390625,2007.1700439453125,1980.260009765625,2007.1700439453125,14732610000
2014-09-13,2010.4000244140625,2019.260009765625,1978.47998046875,1986.0400390625,17261820000
2014-09-20,1982.8499755859375,2009.0799560546875,1965.989990234375,2009.0799560546875,16145360000
2014-09-27,1967.9000244140625,1985.1700439453125,1926.030029296875,1978.9599609375,18807610000
2014-10-04,1906.1300048828125,1977.8399658203125,1906.050048828125,1970.010009765625,20382540000
2014-10-11,1886.760009765625,1912.0899658203125,1820.6600341796875,1905.6500244140625,24810660000
2014-10-18,1964.5799560546875,1965.27001953125,1882.300048828125,1885.6199951171875,17947860000
2014-10-25,2018.050048828125,2018.18994140625,1951.3699951171875,1962.969970703125,18810910000
2014-11-01,2031.9200439453125,2034.260009765625,2001.010009765625,2018.2099609375,18652340000
2014-11-08,2039.8199462890625,2046.1800537109375,2030.1700439453125,2032.010009765625,16172310000
2014-11-15,2063.5,2071.4599609375,2034.4599609375,2038.2900390625,17004640000
2014-11-22,2067.56005859375,2075.760009765625,2064.75,2065.070068359375,11770900000
2014-11-29,2075.3701171875,2079.469970703125,2049.570068359375,2065.780029296875,18286300000
2014-12-06,2002.3299560546875,2075.780029296875,2002.3299560546875,2074.840087890625,19961180000
2014-12-13,2070.64990234375,2077.85009765625,1972.56005859375,2005.030029296875,25431950000
2014-12-20,2088.77001953125,2092.699951171875,2069.280029296875,2069.280029296875,9565680000
2014-12-27,2058.199951171875,2093.550048828125,2046.0400390625,2087.6298828125,10207410000
2015-01-03,2044.81005859375,2064.429931640625,1992.43994140625,2054.43994140625,19362860000
2015-01-10,2019.4200439453125,2056.929931640625,1988.1199951171875,2046.1300048828125,20275570000
2015-01-17,2051.820068359375,2064.6201171875,2004.489990234375,2020.760009765625,15424020000
2015-01-24,1994.989990234375,2057.6201171875,1989.1800537109375,2050.419921875,19558890000
2015-01-31,2055.469970703125,2072.39990234375,1980.9000244140625,1996.6700439453125,20821110000
2015-02-07,2096.989990234375,2097.030029296875,2041.8800048828125,2053.469970703125,18132050000
2015-02-14,2110.300048828125,2110.610107421875,2085.43994140625,2096.469970703125,13260470000
2015-02-21,2104.5,2119.590087890625,2103.0,2109.830078125,16561930000
2015-02-28,2071.260009765625,2117.52001953125,2067.27001953125,2105.22998046875,17049500000
2015-03-07,2053.39990234375,2083.489990234375,2039.68994140625,2072.25,17328980000
2015-03-14,2108.10009765625,2113.919921875,2055.35009765625,2055.35009765625,19504990000
2015-03-21,2061.02001953125,2114.860107421875,2045.5,2107.989990234375,16498140000
2015-03-28,2066.9599609375,2088.969970703125,2048.3798828125,2064.110107421875,12933470000
2015-04-04,2102.06005859375,2102.610107421875,2056.52001953125,2064.8701171875,15962370000
2015-04-11,2081.179931640625,2111.909912109375,2072.3701171875,2102.030029296875,17285170000
2015-04-18,2117.68994140625,2120.919921875,2084.110107421875,2084.110107421875,16604500000
2015-04-25,2108.2900390625,2125.919921875,2077.590087890625,2119.2900390625,18949060000
2015-05-02,2116.10009765625,2120.949951171875,2067.929931640625,2110.22998046875,17753820000
2015-05-09,2122.72998046875,2123.889892578125,2085.570068359375,2115.56005859375,15824270000
2015-05-16,2126.06005859375,2134.719970703125,2120.010009765625,2121.300048828125,14852420000
2015-05-23,2107.389892578125,2126.219970703125,2099.179931640625,2125.340087890625,13377830000
2015-05-30,2092.830078125,2121.919921875,2085.669921875,2108.639892578125,15604780000
2015-06-06,2094.110107421875,2115.02001953125,2072.139892578125,2092.340087890625,15214050000
2015-06-13,2109.989990234375,2126.64990234375,2072.489990234375,2091.340087890625,17173880000
2015-06-20,2101.489990234375,2129.8701171875,2095.3798828125,2112.5,17463770000
2015-06-27,2076.780029296875,2098.6298828125,2056.320068359375,2098.6298828125,14481300000
2015-07-04,2076.6201171875,2083.739990234375,2044.02001953125,2073.949951171875,18065680000
2015-07-11,2126.639892578125,2128.909912109375,2080.030029296875,2080.030029296875,15950490000
2015-07-18,2079.64990234375,2132.820068359375,2077.090087890625,2126.85009765625,17926480000
2015-07-25,2103.840087890625,2114.239990234375,2063.52001953125,2078.18994140625,19254140000
2015-08-01,2077.570068359375,2112.659912109375,2067.909912109375,2104.489990234375,18841050000
2015-08-08,2091.5400390625,2105.35009765625,2052.090087890625,2080.97998046875,17509360000
2015-08-15,1970.8900146484375,2103.469970703125,1970.8900146484375,2089.699951171875,18271310000
2015-08-22,1988.8699951171875,1993.47998046875,1867.010009765625,1965.1500244140625,26089970000
2015-08-29,1921.219970703125,1986.72998046875,1903.0699462890625,1986.72998046875,18717360000
2015-09-05,1961.050048828125,1988.6300048828125,1927.300048828125,1927.300048828125,14045680000
2015-09-12,1958.030029296875,2020.8599853515625,1948.27001953125,1963.06005859375,20075770000
2015-09-19,1931.3399658203125,1979.6400146484375,1908.9200439453125,1960.8399658203125,18081540000
2015-09-26,1951.3599853515625,1951.3599853515625,1871.9100341796875,1929.1800537109375,21346290000
2015-10-03,2014.8900146484375,2020.1300048828125,1954.3299560546875,1954.3299560546875,20849400000
2015-10-10,2033.1099853515625,2033.5400390625,1990.72998046875,2015.6500244140625,17281480000
2015-10-17,2075.14990234375,2079.739990234375,2017.219970703125,2031.72998046875,18785920000
2015-10-24,2079.360107421875,2094.320068359375,2058.840087890625,2075.080078125,20565930000
2015-10-31,2099.199951171875,2116.47998046875,2080.760009765625,2080.760009765625,20531860000
2015-11-07,2023.0400390625,2096.56005859375,2022.02001953125,2096.56005859375,19691320000
2015-11-14,2089.169921875,2097.06005859375,2019.3900146484375,2022.0799560546875,19652690000
2015-11-21,2090.110107421875,2095.610107421875,2070.2900390625,2089.409912109375,11792690000
2015-11-28,2091.68994140625,2104.27001953125,2042.3499755859375,2090.949951171875,20459190000
2015-12-05,2012.3699951171875,2090.419921875,2008.800048828125,2090.419921875,20618850000
2015-12-12,2005.550048828125,2076.719970703125,1993.260009765625,2013.3699951171875,24611890000
2015-12-19,2060.989990234375,2067.360107421875,2005.9300537109375,2010.27001953125,12177090000
2015-12-26,2043.93994140625,2081.56005859375,2043.6199951171875,2057.77001953125,10057270000
2016-01-02,1922.030029296875,2038.199951171875,1918.4599609375,2038.199951171875,22089690000
